,car,no_sensed,walking,bicycling,air_or_hsr,bus,train,subway
Air,8.0,1.0,11.0,3.0,90.0,0.0,0.0,0.0
Bikeshare,25.0,1.0,58.0,56.0,0.0,1.0,0.0,0.0
Bus,847.0,60.0,492.0,104.0,1.0,29.0,6.0,0.0
"E-car, drove alone",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Free Shuttle,44.0,4.0,43.0,10.0,0.0,1.0,3.0,0.0
"Gas Car, drove alone",16306.0,754.0,2751.0,424.0,13.0,178.0,0.0,0.0
"Gas Car, with others",16678.0,774.0,3089.0,572.0,19.0,180.0,21.0,0.0
Not a Trip,1889.0,362.0,1763.0,128.0,21.0,13.0,0.0,0.0
Pilot ebike,6078.0,734.0,6634.0,7986.0,13.0,66.0,9.0,0.0
Regular Bike,271.0,85.0,889.0,1724.0,0.0,6.0,1.0,0.0
Scooter share,29.0,4.0,43.0,15.0,2.0,3.0,0.0,0.0
Skate board,11.0,4.0,23.0,3.0,0.0,0.0,0.0,0.0
Taxi/Uber/Lyft,325.0,20.0,69.0,12.0,0.0,1.0,0.0,0.0
Train,45.0,3.0,41.0,15.0,1.0,2.0,66.0,16.0
Walk,1173.0,291.0,12559.0,485.0,16.0,68.0,2.0,0.0
