,car,walking,bicycling,no_sensed,bus,train,air_or_hsr,subway
Air,95314.3137943834,1520996.3588255274,0.0,1784452.190747931,0.0,0.0,78452905.48557884,0.0
Bikeshare,99968.92020158043,72653.32833553084,98815.7632175407,0.0,6333.4046801908435,0.0,0.0,0.0
Bus,10016369.023849722,1163736.9358058353,379997.90221818816,655471.6465029151,214214.25334904515,119353.71971404017,2607214.4640111555,0.0
Free Shuttle,472425.85888548114,22729.5875436888,11988.112030202248,26506.05836638438,941.6016075090338,8984.45609593619,0.0,0.0
"Gas Car, drove alone",91474799.49359915,4661984.376222322,1457233.0358175195,4777962.13386564,420744.30275531433,0.0,19760.338744155684,0.0
"Gas Car, with others",155419869.2908204,7636470.571353578,1851671.7398731958,8818097.309611721,480266.2655056368,360506.009427231,12549983.860264666,0.0
Not a Trip,24116644.52131849,1452016.42283459,417207.1867197683,1845655.5522808386,27754.043069632626,0.0,1028055.4518694181,0.0
Pilot ebike,13656809.082412055,5722825.480273529,16737647.777122714,1596195.3358319679,81453.15659157632,217319.4290793621,273.6780874143275,0.0
Regular Bike,556085.1049357844,471781.5414463078,3854627.054598186,157372.04682240885,4943.196845755007,60517.522419933084,0.0,0.0
Scooter share,242625.47066551854,89609.17766317251,50001.389273205095,10501.512531577433,20582.3521295272,0.0,52957.31297282592,0.0
Skate board,27226.54871866959,17039.08414643332,25750.52018604167,8993.670002138604,0.0,0.0,0.0,0.0
Taxi/Uber/Lyft,2361494.0536227576,269862.49968200957,42549.74680758252,284149.08475503844,4854.940840297092,0.0,0.0,0.0
Train,921181.9999269671,57276.76701085742,89076.7364649932,647033.9150531777,37531.63327141077,1770325.6401270763,629746.5416124986,512840.3810242734
Walk,2865008.095242857,8220523.155467272,658345.0185915846,338692.3297660223,30621.264618607023,3054.224463762995,5595219.893876512,0.0
