,walking,car,train,no_sensed,bus,air_or_hsr,subway,bicycling
Air,4.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0
Bikeshare,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Bus,11.0,58.0,0.0,3.0,15.0,0.0,0.0,3.0
"E-car, drove alone",2.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0
"E-car, with others",4.0,28.0,0.0,1.0,0.0,0.0,0.0,1.0
Free Shuttle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gas Car, drove alone",178.0,1194.0,2.0,27.0,2.0,0.0,0.0,50.0
"Gas Car, with others",230.0,922.0,0.0,70.0,11.0,1.0,0.0,40.0
Not a Trip,94.0,33.0,0.0,18.0,1.0,2.0,0.0,3.0
Pilot ebike,553.0,573.0,0.0,85.0,9.0,1.0,0.0,962.0
Regular Bike,42.0,54.0,0.0,7.0,2.0,1.0,0.0,99.0
Scooter share,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Taxi/Uber/Lyft,7.0,56.0,0.0,0.0,0.0,0.0,1.0,4.0
Train,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Walk,755.0,55.0,0.0,29.0,1.0,1.0,0.0,28.0
