,BICYCLING,BUS,CAR,NO_SENSED_END,NO_SENSED_MIDDLE,NO_SENSED_START,SUBWAY,TRAIN,WALKING
WALKING,0.19176238433854134,0.07656824284319184,0.06850565539819714,9.922621957389813e-05,0.047162169232398375,0.12152510524137358,0.049192592290110686,0.1411843009310234,0.30400032350558964
NO_GT_MIDDLE,0.06373324391047518,0.11318577369553252,0.10164902270262845,0.0,0.024324892299639772,0.0011813022116165936,0.33863556219242835,0.31104785665407964,0.046242346333599645
CAR,0.10580501621457866,0.00228512822858751,0.8494967427674949,0.0,0.022741956790748537,0.006230409683524972,0.0,0.0,0.013440746315065385
BICYCLING,0.8865353783968724,0.0,0.0024249311421559966,0.0,0.01657552798727059,0.060217278959408115,0.0,0.0,0.03424688351429286
ESCOOTER,0.6383651461544944,0.21534608078953882,0.02453050226493465,0.0,0.05615738570549516,0.0,0.0,0.0,0.06560088508553692
BUS,0.03889707010201595,0.6288688525328833,0.17652246758269127,0.0006735869395497209,0.009061751318691209,0.0,0.046573536391646575,0.04350204295267555,0.055900692179846466
TRAIN,0.0039430340686796754,0.047366054467605216,0.14385739177399745,0.0057198066199230894,0.0063641581300671445,0.0,0.006788503522293979,0.7736050002457074,0.012356051171725998
SUBWAY,0.034009417219754326,0.019428463617451916,0.01645797812741918,0.0,0.013748417182269984,0.0,0.8506517290475869,0.0321070138550444,0.03359698095047348
E_BIKE,0.19181033690325275,0.33496869586370304,0.3044233433490636,0.0,0.024631743994081422,0.0,0.10545515514668674,0.0,0.03871072474321255
LIGHT_RAIL,0.06769536739280264,0.08572474648156356,0.11111097338594166,0.0,0.06473758452267318,0.0,0.02841698839514375,0.6123346066144736,0.029979733207401583
NO_GT_START,0.03705148077289611,0.0,0.6907742065725674,0.0,0.030088232287910487,0.0,0.0,0.0,0.24208608036662596
NO_GT_END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7310981543332165,0.2689018456667836
