,WALKING,NO_GT_MIDDLE,CAR,BICYCLING,NO_GT_END,ESCOOTER,BUS,TRAIN,SUBWAY,E_BIKE,LIGHT_RAIL,NO_GT_START
WALKING,67165.72917246819,30578.73488163948,246.55987906455994,1022.4880020618439,1865.7715537548065,3812.7752389907837,2474.3342459201813,306.3772072792053,13.74904203414917,5093.509934663773,3389.6123661994934,124.99117612838745
BICYCLING,2726.315406560898,2241.054804086685,171.81513381004333,10736.365728378296,154.31370615959167,10437.638779640198,297.1403558254242,132.23306155204773,0.0,15165.414485931396,0.0,40.60035228729248
CAR,2548.9622395038605,2177.323057413101,22171.942591905594,0.0,0.0,516.2511370182037,20261.845266819,23575.90918970108,0.0,0.0,757.3843741416931,0.0
BUS,4065.0258009433746,3342.810483455658,43.04799509048462,0.0,0.0,0.0,50841.33944916725,1466.0158560276031,0.0,0.0,9356.974555253983,0.0
SUBWAY,526.8573536872864,4230.413326740265,0.0,0.0,0.0,0.0,0.0,0.0,59849.458258867264,0.0,0.0,0.0
TRAIN,1486.5106117725372,4422.705359220505,0.0,0.0,0.0,0.0,0.0,80251.81284070015,0.0,0.0,109.76036882400513,0.0
UNKNOWN,559.3454570770264,572.9329018592834,0.0,0.0,0.0,0.0,810.138560295105,0.0,0.0,0.0,1103.8128249645233,0.0
NO_SENSED_START,10794.575631380081,8040.275144815445,6361.937639474869,1219.3242664337158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO_SENSED_MIDDLE,11553.252552747726,581444.0342869759,629.0800628662109,1302.5154616832733,7.292088031768799,1632.2026884555817,1188.8934123516083,941.7592515945435,112.8833601474762,1652.3160722255707,99.88624882698059,0.0
NO_SENSED_END,2770.0152456760406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
